id,title,artist,danceability,decade,Track URI,Genre
SOJAXIL1315CD478DE,Smells Like Teen Spirit,Nirvana,0.401482,1990s,http://dbpedia.org/resource/Smells_Like_Teen_Spirit,Rock
SOREHXI1376CC44971,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,0.384407,1990s,http://dbpedia.org/resource/I%27d_Do_Anything_for_Love_(But_I_Won%27t_Do_That),Rock Pop
SONSYTI144BB316841,All For Love,Bryan Adams,0.50533,1990s,http://dbpedia.org/resource/All_for_Love_(song),Rock
SOLFOXQ141842EB05D,One Sweet Day,Mariah Carey,0.566176,1990s,http://dbpedia.org/resource/One_Sweet_Day,Electronic HipHop
SOACFUV143A0AADD65,Fantasy,Mariah Carey,0.419406,1990s,http://dbpedia.org/resource/Fantasy_(Mariah_Carey_song),HipHop Pop
SOAECYM1315CD4C80D,Kiss From a Rose,Seal,0.576892,1990s,http://dbpedia.org/resource/Kiss_from_a_Rose,Electronic
SOXHCPP142B3108092,Tears In Heaven,Eric Clapton,0.488876,1990s,http://dbpedia.org/resource/Tears_in_Heaven,Rock
SOJSZWE15006DD94B6,I Believe I Can Fly,R. Kelly,0.469667,1990s,http://dbpedia.org/resource/I_Believe_I_Can_Fly,Funk/Soul Pop
SOBWSPZ13EA20FE401,I've Been Thinking About You,Londonbeat,0.637618,1990s,http://dbpedia.org/resource/I%27ve_Been_Thinking_About_You,Funk/Soul Pop
SOIHXEE149ECFBC306,U Can't Touch This,MC Hammer,0.786979,1990s,http://dbpedia.org/resource/U_Can%27t_Touch_This,HipHop
SOAEHQL13E904FDD68,Because You Loved Me,Celine Dion,0.565919,1990s,http://dbpedia.org/resource/Because_You_Loved_Me,Pop
SOSKGKQ14986DFEAE7,Ice Ice Baby,Vanilla Ice,0.860772,1990s,http://dbpedia.org/resource/Ice_Ice_Baby,HipHop
SOBMOER144C7391757,Barbie Girl,Aqua,0.687963,1990s,http://dbpedia.org/resource/Barbie_Girl,Electronic Pop
SOTWOKN144C420C047,All I Wanna Do,Sheryl Crow,0.680736,1990s,http://dbpedia.org/resource/All_I_Wanna_Do_(Sheryl_Crow_song),Rock Pop
SOVNWQS14D27C1A1AA,That's the Way Love Goes,Janet Jackson,0.724536,1990s,http://dbpedia.org/resource/That%27s_the_Way_Love_Goes_(Janet_Jackson_song),Electronic HipHop
SOXCPMF1460503241E,It Must Have Been Love,Roxette,0.347005,1990s,http://dbpedia.org/resource/It_Must_Have_Been_Love,Rock Pop Stage&Screen
SOENXMC12A8C139E69,I Want It That Way,Backstreet Boys,0.684803,1990s,http://dbpedia.org/resource/I_Want_It_That_Way,Pop
