id,title,artist,danceability,decade,Track URI,Genre,recommended,recommendations
SOIPGRE1375C8880C2,Kiss You All Over,EXILE,0.80606,1970s,http://dbpedia.org/resource/Kiss_You_All_Over,Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Fox On The Run;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOFKYBG14608C5B9D4,Ring My Bell,Anita Ward,0.768593,1970s,http://dbpedia.org/resource/Ring_My_Bell,Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Three Times A Lady;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOMKRKN143A0D14E57,Fox On The Run,Sweet,0.412697,1970s,http://dbpedia.org/resource/Fox_on_the_Run_(Sweet_song),Rock Pop,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Joy To The World;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOTQJRH144D1160664,Daddy Cool,Boney M.,0.759814,1970s,http://dbpedia.org/resource/Daddy_Cool_(Boney_M._song),Electronic ,SHADOW DANCING,Hot Stuff;I Feel Love;Pop Muzik;Ma Baker;SHADOW DANCING;
SOSEDYI13E907C9947,Don't Stop 'Til You Get Enough,Michael Jackson,0.837228,1970s,http://dbpedia.org/resource/Don%27t_Stop_%27Til_You_Get_Enough,Electronic Funk/Soul,YMCA,YMCA;
SOKNCNM14C02BF7D32,Ma Baker,Boney M.,0.883808,1970s,http://dbpedia.org/resource/Ma_Baker,Electronic,SHADOW DANCING,Hot Stuff;I Feel Love;Pop Muzik;Daddy Cool;SHADOW DANCING;
SOREWLM135C21A172D,She's A Lady,Tom Jones,0.444509,1970s,http://dbpedia.org/resource/She%27s_a_Lady,Funk/Soul Pop,Kung Fu Fighting,Kung Fu Fighting;Tragedy;
SOMFWSO144B302B46A,Grease,Frankie Valli,0.808027,1970s,http://dbpedia.org/resource/Grease_(song),Electronic Stage&Screen,Night Fever,Night Fever;
SOQSJDG12AF72A40ED,Joy To The World,Three Dog Night,0.670467,1970s,http://dbpedia.org/resource/Joy_to_the_World_(Three_Dog_Night_song),Pop Rock,(They Long To Be) Close To You,"In The Summertime;Waterloo;If You Leave Me Now;Fernando;Crocodile Rock;You're so Vain;It's a Heartache;Sugar Baby Love;Kiss You All Over;Fox On The Run;December 1963 (Oh What A Night);Take A Chance On Me;Money, Money, Money;We Don't Talk Anymore;Raindrops Keep Falling on My Head;Goodbye Yellow Brick Road;Beautiful Sunday;(They Long To Be) Close To You;"
SOPZODU144BAA84E10,Three Times A Lady,Commodores,0.371739,1970s,http://dbpedia.org/resource/Three_Times_a_Lady,Funk/Soul,Kiss and Say Goodbye,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Kiss and Say Goodbye;Lady Marmalade;Shame, Shame, Shame;Superstition;"
SOUCKTF150E5535365,Una Paloma Blanca,George Baker Selection,0.709091,1970s,http://dbpedia.org/resource/Paloma_Blanca,Pop Stage&Screen,You're The One That I Want,You're The One That I Want;
SOMPBFM1460D768730,Kiss and Say Goodbye,The Manhattans,0.642702,1970s,http://dbpedia.org/resource/Kiss_and_Say_Goodbye,Funk/Soul,Rock Your Baby,"Stayin' Alive;Rock Your Baby;I Will Survive;Le Freak;Born to Be Alive;Ring My Bell;Three Times A Lady;Lady Marmalade;Shame, Shame, Shame;Superstition;"
